step	time	u	v	T
170	1.70000e+01	2.49355e-02	3.50833e-03	2.83687e+02
171	1.71000e+01	2.52026e-02	3.68756e-03	2.83544e+02
172	1.72000e+01	2.54767e-02	3.85144e-03	2.83458e+02
173	1.73000e+01	2.57572e-02	3.99125e-03	2.83406e+02
174	1.74000e+01	2.60413e-02	4.10566e-03	2.83366e+02
175	1.75000e+01	2.63215e-02	4.20063e-03	2.83325e+02
176	1.76000e+01	2.65865e-02	4.28641e-03	2.83280e+02
177	1.77000e+01	2.68243e-02	4.37284e-03	2.83239e+02
178	1.78000e+01	2.70271e-02	4.46520e-03	2.83214e+02
179	1.79000e+01	2.71960e-02	4.56210e-03	2.83212e+02
180	1.80000e+01	2.73418e-02	4.65637e-03	2.83239e+02
181	1.81000e+01	2.74836e-02	4.73823e-03	2.83294e+02
182	1.82000e+01	2.76422e-02	4.79950e-03	2.83372e+02
183	1.83000e+01	2.78332e-02	4.83679e-03	2.83468e+02
184	1.84000e+01	2.80606e-02	4.85266e-03	2.83579e+02
185	1.85000e+01	2.83141e-02	4.85406e-03	2.83704e+02
186	1.86000e+01	2.85719e-02	4.84915e-03	2.83844e+02
187	1.87000e+01	2.88072e-02	4.84365e-03	2.84000e+02
188	1.88000e+01	2.89968e-02	4.83843e-03	2.84172e+02
189	1.89000e+01	2.91283e-02	4.82923e-03	2.84355e+02
190	1.90000e+01	2.92033e-02	4.80855e-03	2.84544e+02
191	1.91000e+01	2.92356e-02	4.76893e-03	2.84735e+02
192	1.92000e+01	2.92451e-02	4.70616e-03	2.84924e+02
193	1.93000e+01	2.92492e-02	4.62109e-03	2.85111e+02
194	1.94000e+01	2.92565e-02	4.51928e-03	2.85300e+02
195	1.95000e+01	2.92642e-02	4.40869e-03	2.85497e+02
196	1.96000e+01	2.92605e-02	4.29638e-03	2.85708e+02
197	1.97000e+01	2.92308e-02	4.18558e-03	2.85938e+02
198	1.98000e+01	2.91647e-02	4.07441e-03	2.86186e+02
199	1.99000e+01	2.90620e-02	3.95674e-03	2.86446e+02
200	2.00000e+01	2.89331e-02	3.82487e-03	2.86707e+02
201	2.01000e+01	2.87956e-02	3.67295e-03	2.86959e+02
202	2.02000e+01	2.86672e-02	3.49968e-03	2.87193e+02
203	2.03000e+01	2.85577e-02	3.30925e-03	2.87407e+02
204	2.04000e+01	2.84648e-02	3.10996e-03	2.87608e+02
205	2.05000e+01	2.83737e-02	2.91119e-03	2.87808e+02
206	2.06000e+01	2.82619e-02	2.71987e-03	2.88020e+02
207	2.07000e+01	2.81073e-02	2.53794e-03	2.88253e+02
208	2.08000e+01	2.78968e-02	2.36181e-03	2.88511e+02
209	2.09000e+01	2.76312e-02	2.18414e-03	2.88785e+02
210	2.10000e+01	2.73261e-02	1.99718e-03	2.89058e+02
211	2.11000e+01	2.70068e-02	1.79643e-03	2.89310e+02
212	2.12000e+01	2.67008e-02	1.58300e-03	2.89521e+02
213	2.13000e+01	2.64287e-02	1.36374e-03	2.89683e+02
214	2.14000e+01	2.61986e-02	1.14905e-03	2.89800e+02
215	2.15000e+01	2.60045e-02	9.49192e-04	2.89887e+02
216	2.16000e+01	2.58296e-02	7.70681e-04	2.89968e+02
217	2.17000e+01	2.56524e-02	6.14174e-04	2.90066e+02
218	2.18000e+01	2.54545e-02	4.74704e-04	2.90195e+02
219	2.19000e+01	2.52255e-02	3.44161e-04	2.90352e+02
220	2.20000e+01	2.49657e-02	2.14990e-04	2.90522e+02
221	2.21000e+01	2.46835e-02	8.36288e-05	2.90676e+02
222	2.22000e+01	2.43920e-02	-4.77223e-05	2.90787e+02
223	2.23000e+01	2.41036e-02	-1.71676e-04	2.90833e+02
224	2.24000e+01	2.38266e-02	-2.78325e-04	2.90813e+02
225	2.25000e+01	2.35644e-02	-3.58890e-04	2.90739e+02
226	2.26000e+01	2.33167e-02	-4.08856e-04	2.90639e+02
227	2.27000e+01	2.30824e-02	-4.29359e-04	2.90542e+02
228	2.28000e+01	2.28621e-02	-4.26345e-04	2.90470e+02
229	2.29000e+01	2.26602e-02	-4.07920e-04	2.90428e+02
230	2.30000e+01	2.24831e-02	-3.81045e-04	2.90402e+02
231	2.31000e+01	2.23375e-02	-3.48893e-04	2.90369e+02
232	2.32000e+01	2.22269e-02	-3.09896e-04	2.90301e+02
233	2.33000e+01	2.21496e-02	-2.58754e-04	2.90178e+02
234	2.34000e+01	2.20983e-02	-1.88905e-04	2.89996e+02
235	2.35000e+01	2.20622e-02	-9.53828e-05	2.89766e+02
236	2.36000e+01	2.20312e-02	2.30916e-05	2.89511e+02
237	2.37000e+01	2.19990e-02	1.63560e-04	2.89254e+02
238	2.38000e+01	2.19662e-02	3.19928e-04	2.89010e+02
239	2.39000e+01	2.19398e-02	4.85179e-04	2.88782e+02
240	2.40000e+01	2.19309e-02	6.53762e-04	2.88561e+02
241	2.41000e+01	2.19512e-02	8.23198e-04	2.88328e+02
242	2.42000e+01	2.20086e-02	9.94345e-04	2.88068e+02
243	2.43000e+01	2.21050e-02	1.17030e-03	2.87769e+02
244	2.44000e+01	2.22363e-02	1.35451e-03	2.87432e+02
245	2.45000e+01	2.23946e-02	1.54884e-03	2.87069e+02
246	2.46000e+01	2.25714e-02	1.75252e-03	2.86695e+02
247	2.47000e+01	2.27608e-02	1.96210e-03	2.86326e+02
248	2.48000e+01	2.29613e-02	2.17263e-03	2.85973e+02
249	2.49000e+01	2.31744e-02	2.37932e-03	2.85642e+02
250	2.50000e+01	2.34028e-02	2.57901e-03	2.85331e+02
251	2.51000e+01	2.36471e-02	2.77093e-03	2.85037e+02
252	2.52000e+01	2.39032e-02	2.95643e-03	2.84756e+02
253	2.53000e+01	2.41632e-02	3.13786e-03	2.84486e+02
254	2.54000e+01	2.44167e-02	3.31715e-03	2.84230e+02
255	2.55000e+01	2.46555e-02	3.49465e-03	2.83992e+02
256	2.56000e+01	2.48769e-02	3.66875e-03	2.83776e+02
257	2.57000e+01	2.50859e-02	3.83639e-03	2.83586e+02
258	2.58000e+01	2.52947e-02	3.99412e-03	2.83424e+02
259	2.59000e+01	2.55191e-02	4.13942e-03	2.83290e+02
260	2.60000e+01	2.57728e-02	4.27155e-03	2.83184e+02
261	2.61000e+01	2.60627e-02	4.39166e-03	2.83103e+02
262	2.62000e+01	2.63850e-02	4.50217e-03	2.83050e+02
263	2.63000e+01	2.67260e-02	4.60562e-03	2.83025e+02
264	2.64000e+01	2.70650e-02	4.70347e-03	2.83030e+02
265	2.65000e+01	2.73808e-02	4.79539e-03	2.83067e+02
266	2.66000e+01	2.76574e-02	4.87922e-03	2.83132e+02
267	2.67000e+01	2.78885e-02	4.95167e-03	2.83223e+02
268	2.68000e+01	2.80789e-02	5.00953e-03	2.83334e+02
269	2.69000e+01	2.82412e-02	5.05080e-03	2.83456e+02
270	2.70000e+01	2.83919e-02	5.07547e-03	2.83584e+02
271	2.71000e+01	2.85449e-02	5.08548e-03	2.83715e+02
272	2.72000e+01	2.87073e-02	5.08392e-03	2.83849e+02
273	2.73000e+01	2.88777e-02	5.07385e-03	2.83991e+02
274	2.74000e+01	2.90476e-02	5.05704e-03	2.84147e+02
275	2.75000e+01	2.92048e-02	5.03322e-03	2.84323e+02
276	2.76000e+01	2.93385e-02	5.00010e-03	2.84524e+02
277	2.77000e+01	2.94419e-02	4.95413e-03	2.84747e+02
278	2.78000e+01	2.95144e-02	4.89188e-03	2.84986e+02
279	2.79000e+01	2.95598e-02	4.81126e-03	2.85234e+02
280	2.80000e+01	2.95841e-02	4.71243e-03	2.85479e+02
281	2.81000e+01	2.95916e-02	4.59781e-03	2.85717e+02
282	2.82000e+01	2.95828e-02	4.47130e-03	2.85945e+02
283	2.83000e+01	2.95542e-02	4.33691e-03	2.86167e+02
284	2.84000e+01	2.95000e-02	4.19742e-03	2.86392e+02
285	2.85000e+01	2.94146e-02	4.05341e-03	2.86627e+02
286	2.86000e+01	2.92960e-02	3.90320e-03	2.86879e+02
287	2.87000e+01	2.91472e-02	3.74366e-03	2.87149e+02
288	2.88000e+01	2.89764e-02	3.57161e-03	2.87432e+02
289	2.89000e+01	2.87944e-02	3.38525e-03	2.87718e+02
290	2.90000e+01	2.86117e-02	3.18517e-03	2.87996e+02
291	2.91000e+01	2.84352e-02	2.97441e-03	2.88255e+02
292	2.92000e+01	2.82661e-02	2.75769e-03	2.88493e+02
293	2.93000e+01	2.81002e-02	2.53995e-03	2.88711e+02
294	2.94000e+01	2.79293e-02	2.32485e-03	2.88919e+02
295	2.95000e+01	2.77439e-02	2.11380e-03	2.89127e+02
296	2.96000e+01	2.75366e-02	1.90588e-03	2.89345e+02
297	2.97000e+01	2.73035e-02	1.69866e-03	2.89576e+02
298	2.98000e+01	2.70449e-02	1.48965e-03	2.89816e+02
299	2.99000e+01	2.67650e-02	1.27774e-03	2.90055e+02
300	3.00000e+01	2.64699e-02	1.06413e-03	2.90277e+02
301	3.01000e+01	2.61660e-02	8.52382e-04	2.90469e+02
302	3.02000e+01	2.58593e-02	6.47511e-04	2.90623e+02
303	3.03000e+01	2.55547e-02	4.54562e-04	2.90740e+02
304	3.04000e+01	2.52560e-02	2.77209e-04	2.90826e+02
305	3.05000e+01	2.49666e-02	1.16918e-04	2.90895e+02
306	3.06000e+01	2.46894e-02	-2.70101e-05	2.90957e+02
307	3.07000e+01	2.44264e-02	-1.56609e-04	2.91021e+02
308	3.08000e+01	2.41778e-02	-2.73962e-04	2.91087e+02
309	3.09000e+01	2.39419e-02	-3.79987e-04	2.91147e+02
310	3.10000e+01	2.37144e-02	-4.73789e-04	2.91191e+02
311	3.11000e+01	2.34900e-02	-5.52799e-04	2.91210e+02
312	3.12000e+01	2.32631e-02	-6.13605e-04	2.91196e+02
313	3.13000e+01	2.30306e-02	-6.53118e-04	2.91149e+02
314	3.14000e+01	2.27936e-02	-6.69589e-04	2.91074e+02
315	3.15000e+01	2.25574e-02	-6.63102e-04	2.90977e+02
316	3.16000e+01	2.23317e-02	-6.35367e-04	2.90865e+02
317	3.17000e+01	2.21279e-02	-5.88939e-04	2.90740e+02
318	3.18000e+01	2.19566e-02	-5.26209e-04	2.90602e+02
319	3.19000e+01	2.18248e-02	-4.48594e-04	2.90450e+02
320	3.20000e+01	2.17345e-02	-3.56229e-04	2.90278e+02
321	3.21000e+01	2.16822e-02	-2.48251e-04	2.90084e+02
322	3.22000e+01	2.16609e-02	-1.23550e-04	2.89870e+02
323	3.23000e+01	2.16627e-02	1.83544e-05	2.89637e+02
324	3.24000e+01	2.16806e-02	1.76695e-04	2.89386e+02
325	3.25000e+01	2.17111e-02	3.49337e-04	2.89120e+02
326	3.26000e+01	2.17546e-02	5.33218e-04	2.88836e+02
327	3.27000e+01	2.18138e-02	7.25142e-04	2.88533e+02
328	3.28000e+01	2.18926e-02	9.22611e-04	2.88208e+02
329	3.29000e+01	2.19937e-02	1.12432e-03	2.87864e+02
330	3.30000e+01	2.21171e-02	1.33012e-03	2.87504e+02
331	3.31000e+01	2.22604e-02	1.54045e-03	2.87136e+02
332	3.32000e+01	2.24200e-02	1.75550e-03	2.86767e+02
333	3.33000e+01	2.25921e-02	1.97451e-03	2.86402e+02
334	3.34000e+01	2.27752e-02	2.19548e-03	2.86045e+02
335	3.35000e+01	2.29706e-02	2.41546e-03	2.85697e+02
336	3.36000e+01	2.31822e-02	2.63130e-03	2.85354e+02
337	3.37000e+01	2.34147e-02	2.84056e-03	2.85016e+02
338	3.38000e+01	2.36718e-02	3.04213e-03	2.84685e+02
339	3.39000e+01	2.39540e-02	3.23631e-03	2.84367e+02
340	3.40000e+01	2.42573e-02	3.42433e-03	2.84070e+02
341	3.41000e+01	2.45737e-02	3.60748e-03	2.83804e+02
342	3.42000e+01	2.48927e-02	3.78630e-03	2.83575e+02
343	3.43000e+01	2.52038e-02	3.96005e-03	2.83386e+02
344	3.44000e+01	2.54992e-02	4.12682e-03	2.83235e+02
345	3.45000e+01	2.57762e-02	4.28406e-03	2.83120e+02
346	3.46000e+01	2.60369e-02	4.42940e-03	2.83035e+02
347	3.47000e+01	2.62882e-02	4.56145e-03	2.82974e+02
348	3.48000e+01	2.65388e-02	4.68010e-03	2.82936e+02
349	3.49000e+01	2.67970e-02	4.78642e-03	2.82917e+02
350	3.50000e+01	2.70678e-02	4.88213e-03	2.82918e+02
351	3.51000e+01	2.73516e-02	4.96883e-03	2.82941e+02
352	3.52000e+01	2.76441e-02	5.04736e-03	2.82986e+02
353	3.53000e+01	2.79370e-02	5.11743e-03	2.83058e+02
354	3.54000e+01	2.82205e-02	5.17770e-03	2.83157e+02
355	3.55000e+01	2.84855e-02	5.22619e-03	2.83284e+02
356	3.56000e+01	2.87248e-02	5.26090e-03	2.83436e+02
357	3.57000e+01	2.89349e-02	5.28040e-03	2.83610e+02
358	3.58000e+01	2.91153e-02	5.28422e-03	2.83797e+02
359	3.59000e+01	2.92680e-02	5.27291e-03	2.83993e+02
360	3.60000e+01	2.93964e-02	5.24779e-03	2.84190e+02
361	3.61000e+01	2.95037e-02	5.21043e-03	2.84386e+02
362	3.62000e+01	2.95928e-02	5.16213e-03	2.84583e+02
363	3.63000e+01	2.96653e-02	5.10342e-03	2.84785e+02
364	3.64000e+01	2.97218e-02	5.03394e-03	2.84997e+02
365	3.65000e+01	2.97622e-02	4.95252e-03	2.85226e+02
366	3.66000e+01	2.97862e-02	4.85765e-03	2.85473e+02
367	3.67000e+01	2.97932e-02	4.74804e-03	2.85736e+02
368	3.68000e+01	2.97827e-02	4.62312e-03	2.86012e+02
369	3.69000e+01	2.97539e-02	4.48335e-03	2.86292e+02
370	3.70000e+01	2.97057e-02	4.33015e-03	2.86568e+02
371	3.71000e+01	2.96367e-02	4.16552e-03	2.86837e+02
372	3.72000e+01	2.95454e-02	3.99148e-03	2.87097e+02
373	3.73000e+01	2.94306e-02	3.80954e-03	2.87351e+02
374	3.74000e+01	2.92915e-02	3.62038e-03	2.87606e+02
